wt,feed_pc,phase
0.007,0.6,quarantine
0.009,0.55,quarantine
0.011,0.5,quarantine
0.012,0.45,quarantine
0.014,0.4,quarantine
0.015,0.35,quarantine
0.017,0.3,quarantine
0.019,0.275,quarantine
0.02,0.25,quarantine
0.02,0.225,quarantine
0.02,0.2,quarantine
0.03,0.175,quarantine
0.04,0.15,quarantine
0.06,0.14,quarantine
0.07,0.13,quarantine
0.08,0.12,quarantine
0.09,0.11,quarantine
0.1,0.1,quarantine
0.14,0.09,quarantine
0.19,0.08,quarantine
0.23,0.078,quarantine
0.27,0.075,quarantine
0.31,0.073,quarantine
0.35,0.07,quarantine
0.39,0.068,quarantine
0.44,0.066,quarantine
0.5,0.064,quarantine
0.55,0.062,quarantine
0.61,0.06,quarantine
0.66,0.058,quarantine
0.72,0.056,quarantine
0.77,0.055,quarantine
0.82,0.054,quarantine
0.87,0.053,quarantine
0.92,0.052,quarantine
0.97,0.051,quarantine
1,0.05,quarantine
1.02,0.05,quarantine
1.07,0.05,quarantine
1.12,0.049,quarantine
1.17,0.049,nursery
2,0.05,nursery
3,0.049,nursery
4,0.048,juvenile
5,0.046,juvenile
6,0.043,juvenile
7,0.04,juvenile
8,0.037,juvenile
9,0.035,juvenile
10,0.034,juvenile
11,0.035,growout
12,0.034,growout
13,0.034,growout
14,0.033,growout
15,0.04,growout
16,0.04,growout
17,0.04,growout
18,0.04,growout
19,0.04,growout
20,0.04,growout
21,0.04,growout
22,0.04,growout
23,0.04,growout
24,0.04,growout
25,0.04,growout
32,0,depurate
35,0,depurate
