date,measure_in,condition
2018-01-15,2.7,rainfall
2018-02-15,2.4,rainfall
2018-03-15,2.9,rainfall
2018-04-15,4.1,rainfall
2018-05-15,8.6,rainfall
2018-06-15,12,rainfall
2018-07-15,12.1,rainfall
2018-08-15,12.7,rainfall
2018-09-15,11.2,rainfall
2018-10-15,6.5,rainfall
2018-11-15,4,rainfall
2018-12-15,2.4,rainfall
2018-01-15,2.24,aet
2018-02-15,2.72,aet
2018-03-15,4.15,aet
2018-04-15,5.23,aet
2018-05-15,6.37,aet
2018-06-15,5.61,aet
2018-07-15,5.48,aet
2018-08-15,5.2,aet
2018-09-15,4.2,aet
2018-10-15,3.95,aet
2018-11-15,2.79,aet
2018-12-15,2.09,aet
